Subject,Start date
Rest,12/23/2024
6.4 km run,12/24/2024
30 min tempo,12/25/2024
3.2 km run,12/26/2024
Rest,12/27/2024
Rest,12/28/2024
Half Marathon,12/29/2024
60 min cross,12/16/2024
8.1 km run,12/17/2024
10 x 400 5Kpace,12/18/2024
4.8 km run,12/19/2024
Rest,12/20/2024
4.8 km pace,12/21/2024
19.3 km run,12/22/2024
Rest,12/09/2024
8.1 km run,12/10/2024
45 min tempo,12/11/2024
4.8 km run,12/12/2024
Rest,12/13/2024
8.1 km pace,12/14/2024
17.7 km run,12/15/2024
60 min cross,12/02/2024
8.1 km run,12/03/2024
9 x 400 5-Kpace,12/04/2024
4.8 km run,12/05/2024
Rest or easy run,12/06/2024
Rest,12/07/2024
15-KRace,12/08/2024
50 min cross,11/25/2024
7.3 km run,11/26/2024
40 min tempo,11/27/2024
4.8 km run,11/28/2024
Rest,11/29/2024
8.1 km pace,11/30/2024
16.1 km run,12/01/2024
Rest,11/18/2024
7.3 km run,11/19/2024
8 x 400 5-Kpace,11/20/2024
4.8 km run,11/21/2024
Rest,11/22/2024
6.4 km pace,11/23/2024
14.5 km run,11/24/2024
50 min cross,11/11/2024
6.4 km run,11/12/2024
40 min tempo,11/13/2024
4.8 km run,11/14/2024
Rest or easy run,11/15/2024
Rest,11/16/2024
10-KRace,11/17/2024
40 min cross,11/04/2024
6.4 km run,11/05/2024
7 x 400 5-Kpace,11/06/2024
4.8 km run,11/07/2024
Rest,11/08/2024
4.8 km pace,11/09/2024
12.9 km run,11/10/2024
40 min cross,10/28/2024
5.9 km run,10/29/2024
35 min tempo,10/30/2024
4.8 km run,10/31/2024
Rest,11/01/2024
4.8 km run,11/02/2024
11.3 km run,11/03/2024
40 min cross,10/21/2024
5.9 km run,10/22/2024
6 x 400 5-Kpace,10/23/2024
4.8 km run,10/24/2024
Rest,10/25/2024
Rest,10/26/2024
5-KRace,10/27/2024
30 min cross,10/14/2024
4.8 km run,10/15/2024
30 min tempo,10/16/2024
4.8 km run,10/17/2024
Rest,10/18/2024
4.8 km pace,10/19/2024
9.7 km run,10/20/2024
30 min cross,10/07/2024
4.8 km run,10/08/2024
5 x 400 5-Kpace,10/09/2024
4.8 km run,10/10/2024
Rest,10/11/2024
4.8 km run,10/12/2024
8.1 km run,10/13/2024
